train/entropy_loss,time/iterations,time/time_elapsed,train/policy_loss,train/value_loss,time/total_timesteps,train/reward,train/n_updates,train/explained_variance,train/learning_rate,train/std,time/fps
-68.15361022949219,100,5,45.396873474121094,0.8638849258422852,500,0.46644217,99,0.0,0.0007,1.0010385513305664,98
-68.17452239990234,200,8,129.33755493164062,4.425702095031738,1000,-0.5054845,199,0.0,0.0007,1.0015984773635864,115
-68.23792266845703,300,14,-135.36631774902344,4.004330158233643,1500,1.3514581,299,-1.1920928955078125e-07,0.0007,1.0028619766235352,104
-68.27118682861328,400,19,-90.51284790039062,1.9386266469955444,2000,1.7030038,399,0.0,0.0007,1.0035032033920288,104
-68.28494262695312,500,24,-140.00546264648438,4.1512370109558105,2500,1.0365553,499,0.0,0.0007,1.0038175582885742,102
-68.35906982421875,600,30,-29.81857681274414,0.6583430171012878,3000,-0.31595907,599,0.0,0.0007,1.005509614944458,99
-68.4237289428711,700,37,-50.3448371887207,1.1931360960006714,3500,-0.5751514,699,0.0,0.0007,1.0069934129714966,94
-68.5487060546875,800,45,30.97930908203125,1.8607661724090576,4000,-1.0593202,799,1.1920928955078125e-07,0.0007,1.0095362663269043,87
-68.59260559082031,900,52,-25.090457916259766,0.30154451727867126,4500,1.748583,899,0.0,0.0007,1.010559320449829,85
-68.6557846069336,1000,58,124.7867431640625,3.4180569648742676,5000,-0.3317962,999,0.0,0.0007,1.0119141340255737,85
-68.68119049072266,1100,63,265.19775390625,34.71995162963867,5500,3.0252006,1099,0.0,0.0007,1.0122783184051514,85
-68.74825286865234,1200,69,-111.568359375,5.591537952423096,6000,-3.1442742,1199,-1.1920928955078125e-07,0.0007,1.0138734579086304,86
-68.70799255371094,1300,74,-168.31671142578125,15.697433471679688,6500,5.0337896,1299,0.0,0.0007,1.0129390954971313,86
-68.67906951904297,1400,80,-312.1077575683594,26.466289520263672,7000,1.194423,1399,0.0,0.0007,1.0124231576919556,87
-68.7267074584961,1500,84,246.04238891601562,20.124958038330078,7500,4.338284,1499,0.0,0.0007,1.0132023096084595,88
-68.74414825439453,1600,88,63.85956573486328,1.9846086502075195,8000,0.043525755,1599,0.0,0.0007,1.0137594938278198,89
-68.74246978759766,1700,92,-161.15426635742188,9.434346199035645,8500,1.1898593,1699,0.0,0.0007,1.0136240720748901,91
-68.80553436279297,1800,97,-277.264892578125,42.9362907409668,9000,1.5675603,1799,-0.07398760318756104,0.0007,1.015006184577942,92
-68.83451843261719,1900,103,-60.821937561035156,2.474468469619751,9500,8.182551,1899,0.0,0.0007,1.0156124830245972,92
-68.82709503173828,2000,108,-46.72150802612305,1.0695878267288208,10000,-1.173108,1999,0.0,0.0007,1.015716314315796,91
-68.84636688232422,2100,113,-74.51066589355469,1.4492175579071045,10500,0.20047733,2099,0.0,0.0007,1.0161103010177612,92
-68.87924194335938,2200,119,99.65119934082031,2.1854043006896973,11000,-1.1204189,2199,0.0,0.0007,1.0168153047561646,92
-68.94611358642578,2300,124,105.47232818603516,3.7158875465393066,11500,-0.08941168,2299,-1.1920928955078125e-07,0.0007,1.0182136297225952,92
-68.93620300292969,2400,129,163.9723358154297,6.925434112548828,12000,-2.5447803,2399,0.0,0.0007,1.0180202722549438,92
-69.00576782226562,2500,134,236.4757843017578,24.049877166748047,12500,1.4350773,2499,0.0,0.0007,1.0194224119186401,92
-68.96231842041016,2600,139,206.2593994140625,10.794678688049316,13000,-0.038165346,2599,0.0,0.0007,1.0185765027999878,93
-68.98872375488281,2700,144,-207.41714477539062,20.430809020996094,13500,2.6684034,2699,5.960464477539063e-08,0.0007,1.019168496131897,93
