time/episodes,time/time_elapsed,time/total_timesteps,train/reward,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,time/fps
4,68,972,-0.69460225,871,0.001,8.640108108520508,198.25718688964844,14
8,143,1944,-0.69460225,1843,0.001,14.381183624267578,217.10874938964844,13
12,203,2916,-0.69460225,2815,0.001,12.529594421386719,198.26739501953125,14
16,249,3888,-0.69460225,3787,0.001,8.356340408325195,186.25991821289062,15
20,303,4860,-0.69460225,4759,0.001,2.877223014831543,165.8686065673828,16
24,356,5832,-0.69460225,5731,0.001,10.492572784423828,160.95108032226562,16
28,406,6804,-0.69460225,6703,0.001,3.938788890838623,121.061767578125,16
32,471,7776,-0.69460225,7675,0.001,5.606386184692383,112.15635681152344,16
36,533,8748,-0.69460225,8647,0.001,3.3643805980682373,108.21826171875,16
40,588,9720,-0.69460225,9619,0.001,4.183957576751709,91.13099670410156,16
